date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:40	190129/190129	---M-Z	200	added ('OK')	text/html	etag:%222e6b1-63a0f86a6047a-gzip%22	https://maryinvite.ru/ayaulym	C:/Users/Kan/Desktop/999/maryinvite.ru/ayaulym.html	(from )
12:12:41	383/383	---M-Z	200	added ('OK')	text/plain	etag:%22470-63a1a2dbe3379-gzip%22	https://maryinvite.ru/robots.txt		(from )
12:12:42	190129/190129	---M-Z	200	added ('OK')	text/html	etag:%222e6b1-63a0f86a61c21-gzip%22	https://maryinvite.ru/Ayaulym	C:/Users/Kan/Desktop/999/maryinvite.ru/Ayaulym-2.html	(from https://maryinvite.ru/ayaulym)
12:12:43	203782/203782	---M--	200	added ('OK')	image/jpeg	etag:%22736cb530a813973537f685e8234a406f%22	https://static.tildacdn.com/tild6539-3862-4639-a531-353130666638/IMG_4089_tilda432293.jpeg	C:/Users/Kan/Desktop/999/static.tildacdn.com/tild6539-3862-4639-a531-353130666638/IMG_4089_tilda432293.jpg	(from https://maryinvite.ru/ayaulym)
12:12:43	1718/1718	---M--	200	added ('OK')	image/x-icon	etag:%22539cb98730871486358e58b899ac739e%22	https://static.tildacdn.com/img/tildafavicon.ico	C:/Users/Kan/Desktop/999/static.tildacdn.com/img/tildafavicon.ico	(from https://maryinvite.ru/ayaulym)
12:12:44	548/548	---M--	403	error ('Forbidden')	text/html	date:Thu,%2017%20Jul%202025%2007:12:43%20GMT	https://ws.tildacdn.com/	C:/Users/Kan/Desktop/999/ws.tildacdn.com/index.html	(from https://maryinvite.ru/ayaulym)
12:12:44	51/51	---M--	200	added ('OK')	text/html	etag:%22605342c5-33%22	https://static.tildacdn.com/	C:/Users/Kan/Desktop/999/static.tildacdn.com/index.html	(from https://maryinvite.ru/ayaulym)
12:12:45	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%226811fecd-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	C:/Users/Kan/Desktop/999/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://maryinvite.ru/ayaulym)
12:12:45	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	C:/Users/Kan/Desktop/999/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://maryinvite.ru/ayaulym)
12:12:47	13399/13399	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Jul%202025%2017:50:18%20GMT	https://static.tildacdn.com/ws/project5119913/tilda-blocks-page72441421.min.css?t=1752688217	C:/Users/Kan/Desktop/999/static.tildacdn.com/ws/project5119913/tilda-blocks-page72441421.mindc16.css	(from https://maryinvite.ru/ayaulym)
12:12:47	2776/2776	---MCZ	200	added ('OK')	text/css	etag:W/%2265ccbdf9-ad8%22	https://static.tildacdn.com/css/tilda-animation-2.0.min.css	C:/Users/Kan/Desktop/999/static.tildacdn.com/css/tilda-animation-2.0.min.css	(from https://maryinvite.ru/ayaulym)
